	Число избирателей, включенных в список избирателей	Число избирательных бюллетеней, полученных участковой избирательной комиссией	Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно	Число избирательных бюллетеней, выданных в помещении для голосования в день голосования	Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования	Число погашенных избирательных бюллетеней	Число избирательных бюллетеней в переносных ящиках для голосования	Число бюллетеней в стационарных ящиках для голосования	Число недействительных избирательных бюллетеней	Число действительных избирательных бюллетеней	Число полученных открепительных  удостоверений	Число открепительных удостоверений, выданных избирателям на избирательном участке	Число избирателей, проголосовавших по открепительным удостоверениям	Число неиспользованных открепительных удостоверений	Число открепительных удостоверений, выданных избирателям ТИК	Число утраченных открепительных удостоверений	Число утраченных избирательных бюллетеней	Число избирательных бюллетеней, не учтенных при получении	Жириновский Владимир Вольфович	Зюганов Геннадий Андреевич	Миронов Сергей Михайлович	Прохоров Михаил Дмитриевич	Путин Владимир Владимирович
УИК №1000	2447	1950	0	1369	72	509	68	1364	39	1393	61	61	48	0	0	0	0	0	92	263	74	221	743
УИК №1001	2839	2150	0	1668	50	432	50	1668	38	1680	61	61	96	0	1	0	0	0	97	331	79	353	820
УИК №1002	2509	1950	0	1438	122	390	122	1346	24	1444	50	50	72	0	1	0	0	0	78	244	79	211	832
УИК №100	2595	2400	0	1388	37	975	37	1388	32	1393	70	58	79	12	2	0	0	0	96	243	67	378	609
УИК №1003	2696	1950	0	1409	53	488	53	1405	34	1424	50	50	58	0	1	0	0	0	92	269	80	260	723
УИК №1004	1460	950	0	930	9	11	9	930	17	922	40	25	56	15	0	0	0	0	62	157	33	228	442
УИК №1005	1513	1400	0	777	34	589	34	777	18	793	40	40	33	0	0	0	0	0	56	149	55	132	401
УИК №1006	1762	1700	0	878	37	785	37	877	21	893	40	38	17	2	1	0	0	0	60	170	54	168	441
УИК №1007	1750	1700	0	938	42	720	42	938	23	957	60	55	36	5	0	0	0	0	65	162	38	190	502
УИК №1008	1738	1700	0	977	32	691	32	974	30	976	46	40	29	6	0	0	0	0	70	185	41	194	486
УИК №1009	1654	1600	0	852	27	721	27	848	14	861	40	38	29	2	1	0	0	0	70	162	47	158	424
УИК №1010	1902	1700	0	945	24	731	24	945	23	946	60	45	45	15	0	0	0	0	64	188	58	162	474
УИК №1011	1443	1350	0	725	30	595	30	725	21	734	40	37	24	3	1	0	0	0	61	158	49	148	318
УИК №1012	1944	1800	0	1080	49	671	49	1075	29	1095	50	50	32	0	0	0	0	0	65	229	51	216	534
УИК №1013	2233	2000	0	1256	29	715	29	1253	43	1239	46	45	95	1	1	0	0	0	84	266	72	278	539
УИК №1014	1854	1700	0	958	34	708	34	956	17	973	40	34	42	6	1	0	0	0	70	203	59	227	414
УИК №1015	1518	1300	0	838	30	432	30	835	25	840	45	41	46	4	3	0	0	0	45	165	50	185	395
УИК №1016	2067	2000	0	1114	39	847	39	1114	24	1129	60	49	44	11	0	0	0	0	71	215	70	282	491
УИК №1017	2512	2350	0	1320	93	937	93	1320	26	1387	65	65	72	0	0	0	0	0	82	270	72	238	725
УИК №1018	2233	2100	0	1244	28	828	28	1237	21	1244	45	45	39	0	2	0	0	0	81	270	68	299	526
УИК №10	1862	1500	0	1188	30	282	30	1186	30	1186	30	21	421	9	2	0	0	0	52	205	56	318	555
УИК №1019	2185	2150	0	1207	46	897	46	1203	11	1238	65	65	38	0	1	0	0	0	74	268	67	272	557
УИК №1020	1475	1400	0	823	39	538	39	823	11	851	40	40	34	0	0	0	0	0	50	145	46	229	381
УИК №1021	1846	1750	0	1093	36	621	36	1093	18	1111	40	36	41	4	0	0	0	0	72	251	61	244	483
УИК №1022	2081	1850	0	1225	36	589	36	1225	32	1229	40	40	50	0	1	0	0	0	72	278	76	263	540
УИК №102	2270	2200	0	1099	25	1076	25	1091	19	1097	50	44	50	6	0	0	0	0	71	211	44	353	418
УИК №1023	1592	1500	0	870	35	595	35	869	21	883	45	44	65	1	1	0	0	0	74	184	45	201	379
УИК №1024	1755	1650	0	887	63	700	63	887	19	931	40	38	49	2	2	0	0	0	56	199	65	172	439
УИК №1025	2572	2400	0	1442	36	922	36	1441	24	1453	50	50	34	0	3	0	0	0	77	310	87	386	593
УИК №1026	1313	1200	0	947	26	227	26	947	18	955	40	21	22	19	0	0	0	0	69	183	51	320	332
УИК №1027	2088	2000	0	1041	28	931	28	1037	33	1032	46	45	31	1	0	0	0	0	48	209	71	215	489
УИК №1028	1837	1800	0	1071	46	683	46	1068	32	1082	40	40	42	0	1	0	0	0	63	206	54	289	470
УИК №1029	2510	2450	0	1356	41	1053	41	1347	27	1361	65	64	23	1	0	0	0	0	78	254	90	284	655
УИК №1030	1896	1850	0	1129	30	691	30	1126	27	1129	60	44	30	16	0	0	0	0	70	253	68	239	499
УИК №1031	2647	2600	0	1557	44	999	44	1555	36	1563	80	77	33	3	5	0	0	0	78	331	83	370	701
УИК №1032	2441	2300	0	1425	37	838	37	1424	33	1428	65	62	54	3	2	0	0	0	92	317	81	321	617
УИК №103	2502	2400	0	1162	33	1205	33	1158	38	1153	70	65	55	5	2	0	0	0	68	237	51	294	503
УИК №1033	1345	1300	0	739	32	529	32	734	16	750	40	39	22	1	1	0	0	0	36	160	42	156	356
УИК №1034	2036	1850	0	1145	29	676	29	1142	27	1144	45	44	39	1	0	0	0	0	59	239	70	287	489
УИК №1035	1747	1700	0	942	65	693	65	942	19	988	45	44	18	1	0	0	0	0	56	239	54	230	409
УИК №1036	2081	2000	0	1135	48	817	48	1134	28	1154	60	53	22	7	0	0	0	0	67	237	59	236	555
УИК №1037	2657	2000	0	1446	83	471	83	1441	32	1492	64	60	123	4	2	0	0	0	100	303	97	240	752
УИК №1038	2787	2000	0	1637	87	276	87	1543	27	1603	78	77	53	1	2	0	0	0	99	348	85	236	835
УИК №1039	2418	2000	0	1325	80	595	80	1323	32	1371	74	74	103	0	1	0	0	0	96	270	70	201	734
УИК №1040	2196	1500	0	1199	82	219	82	1197	17	1262	51	49	90	2	4	0	0	0	84	260	60	264	594
УИК №1041	2737	2000	0	1697	25	278	25	1697	37	1685	81	81	138	0	2	0	0	0	84	340	53	268	940
УИК №1042	2808	2000	0	1687	33	280	33	1685	26	1692	91	88	81	3	3	0	0	0	115	385	54	319	819
УИК №104	2794	2500	0	1527	36	937	36	1522	25	1533	50	48	45	2	4	0	0	0	89	244	71	360	769
УИК №1043	3014	2000	0	1694	48	258	48	1639	30	1657	84	80	88	4	3	0	0	0	118	339	74	294	832
УИК №1044	2933	2000	0	1586	42	372	42	1582	25	1599	70	70	156	0	5	0	0	0	132	288	79	285	815
УИК №1045	2997	2000	0	1671	69	260	69	1668	29	1708	79	79	244	0	3	0	0	0	119	299	78	261	951
УИК №1046	2874	2000	0	1502	69	429	68	1493	17	1544	58	58	51	0	1	0	0	0	118	291	57	284	794
