УИК №101	659	650	0	213	5	432	5	213	5	213	0	0	125	88
УИК №102	793	780	0	258	15	507	15	258	7	266	0	0	124	142
УИК №103	720	720	0	222	13	485	13	222	5	230	0	0	111	119
УИК №104	717	720	0	240	13	467	13	240	11	242	0	0	111	131
УИК №105	346	330	0	94	15	221	15	94	12	97	0	0	33	64
УИК №106	377	380	7	95	22	256	29	95	0	124	0	0	70	54
УИК №107	258	260	25	85	7	143	32	85	4	113	0	0	53	60
УИК №108	132	130	0	76	11	43	11	76	1	86	0	0	18	68
УИК №109	242	240	0	101	20	119	20	101	3	118	0	0	48	70
УИК №110	199	190	15	52	0	123	15	52	1	66	0	0	38	28
УИК №111	443	450	0	167	11	272	11	167	5	173	0	0	63	110
УИК №112	98	90	0	41	0	49	0	41	4	37	0	0	7	30
УИК №113	307	300	0	124	5	171	5	124	4	125	0	0	71	54
УИК №114	138	130	23	52	5	50	28	52	5	75	0	0	37	38
УИК №115	130	130	0	67	13	50	13	67	3	77	0	0	36	41
УИК №116	589	580	0	227	21	332	21	227	9	239	0	0	144	95
УИК №117	279	240	0	143	5	92	5	143	5	143	0	0	90	53
УИК №118	216	210	0	88	7	115	7	88	0	95	0	0	70	25
УИК №119	297	280	0	148	20	112	20	148	2	166	0	0	73	93
УИК №120	147	150	0	33	7	110	7	33	0	40	0	0	24	16
УИК №121	222	220	0	71	13	136	13	71	0	84	0	0	27	57
УИК №122	768	770	0	185	32	553	32	185	11	206	0	0	110	96
УИК №123	626	610	0	215	29	366	29	215	4	240	0	0	122	118
УИК №124	691	850	0	489	15	346	15	489	13	491	0	0	166	325
УИК №125	430	430	33	123	10	264	43	123	5	161	0	0	67	94
УИК №126	640	640	13	178	13	436	26	178	4	200	0	0	114	86
УИК №127	297	290	0	74	10	206	10	74	2	82	0	0	35	47
УИК №128	521	520	0	214	13	293	13	214	11	216	0	0	108	108
														
УИК №201	2221	2200	0	674	3	1523	3	674	18	659	0	0	440	219
УИК №202	2298	2300	0	849	11	1440	11	849	20	840	0	0	482	358
УИК №203	2201	2200	0	748	3	1449	3	748	15	736	0	0	472	264
УИК №204	2253	2250	0	887	4	1359	4	887	19	872	0	0	517	355
УИК №205	1171	1150	0	305	3	842	3	305	3	305	0	0	227	78
УИК №206	815	800	0	229	2	569	2	229	6	225	0	0	141	84
УИК №207	1932	1950	0	773	11	1166	11	773	12	772	0	0	429	343
УИК №208	2173	2200	0	856	8	1336	8	856	17	847	0	0	487	360
УИК №209	2258	2250	0	886	16	1348	16	886	18	884	0	0	480	404
УИК №210	2147	2150	0	836	6	1308	6	836	20	822	0	0	468	354
УИК №211	1949	1950	0	767	10	1173	10	767	19	758	0	0	433	325
УИК №212	2215	2250	0	843	8	1399	8	843	26	825	0	0	479	346
УИК №213	2117	2100	0	730	5	1365	5	730	12	723	0	0	454	269
УИК №214	2063	2050	0	749	5	1296	5	749	12	742	0	0	459	283
УИК №215	2040	2050	0	846	10	1194	10	846	18	838	0	0	489	349
УИК №216	2091	2100	0	778	1	1321	1	778	30	749	0	0	407	342
УИК №217	2004	2000	0	751	10	1239	10	751	17	744	0	0	428	316
УИК №218	2349	2300	0	763	11	1526	11	763	22	752	0	0	487	265
УИК №219	2270	2300	0	778	37	1485	37	778	17	798	0	0	463	335
УИК №220	2033	1950	0	741	8	1201	8	741	17	732	0	0	404	328
УИК №221	2175	2100	0	863	5	1232	5	863	17	851	0	0	505	346
УИК №222	2025	2000	0	695	2	1303	2	695	17	680	0	0	411	269
УИК №280	90	300	0	61	25	214	25	61	2	84	0	0	33	51
														
УИК №301	2737	2600	0	1184	4	1412	4	1184	66	1122	0	0	717	405
УИК №302	1140	1000	0	296	5	699	5	296	10	291	0	0	185	106
УИК №303	2557	2500	0	1206	24	1270	24	1206	4	1226	0	0	373	853
УИК №304	2538	2500	0	1671	60	769	60	1671	14	1717	0	0	284	1433
УИК №305	1037	1000	0	220	62	718	62	220	0	282	0	0	166	116
УИК №306	1418	1400	0	364	2	1034	2	364	4	362	0	0	238	124
УИК №307	1618	1600	0	417	18	1165	18	417	6	429	0	0	290	139
УИК №308	1171	1000	0	305	17	678	17	305	9	313	0	0	228	85
УИК №309	1234	1000	0	397	14	589	14	397	11	400	0	0	241	159
УИК №310	1846	1800	0	573	6	1221	6	573	16	563	0	0	388	175
УИК №311	2052	2000	0	679	22	1299	22	679	16	685	0	0	363	322
УИК №312	1155	1000	0	451	3	546	3	451	12	442	0	0	279	163
УИК №313	1416	1300	0	489	6	805	6	489	9	486	0	0	301	185
УИК №314	1529	1500	0	444	4	1052	4	444	3	445	0	0	282	163
УИК №315	1885	1700	0	650	5	1045	5	650	12	643	0	0	367	276
УИК №316	1242	1200	0	436	9	755	9	436	11	434	0	0	242	192
УИК №317	1815	1800	0	370	4	1426	4	370	4	370	0	0	243	127
УИК №318	1669	1500	0	923	38	539	38	923	4	957	0	0	199	758
УИК №319	1189	1100	0	360	10	730	10	360	15	355	0	0	185	170
УИК №320	1891	1900	0	637	14	1249	14	637	15	636	0	0	316	320
УИК №321	2177	2000	0	730	20	1250	20	730	12	738	0	0	436	302
УИК №322	1196	1000	0	366	33	601	33	365	9	389	0	0	224	165
УИК №323	1574	1500	0	435	111	954	111	435	14	532	0	0	305	227
УИК №324	1276	1200	0	431	4	765	4	431	27	408	0	0	263	145
УИК №325	1120	1100	0	390	21	689	21	380	2	399	0	0	204	195
УИК №326	1207	1100	0	450	13	637	13	450	5	458	0	0	181	277
УИК №327	928	900	0	264	3	633	3	264	4	263	0	0	156	107
УИК №328	2041	2000	0	1083	17	900	17	1083	11	1089	0	0	332	757
УИК №329	1464	1400	0	439	11	950	11	439	9	441	0	0	251	190
УИК №330	1898	1700	0	527	23	1150	23	527	17	533	0	0	327	206
УИК №331	2714	2700	0	839	47	1814	47	839	10	876	0	0	486	390
УИК №332	764	700	0	185	3	512	3	185	4	184	0	0	123	61
УИК №333	1731	1700	0	527	5	1168	5	527	12	520	0	0	201	319
УИК №334	1602	1600	0	646	37	917	37	646	10	673	0	0	292	381
УИК №335	2212	2000	0	510	51	1439	51	510	42	519	0	0	252	267
УИК №336	1554	1500	0	591	1	908	1	591	91	501	0	0	243	258
УИК №337	1973	1800	0	567	4	1229	4	567	17	554	0	0	325	229
УИК №338	514	400	0	117	17	266	17	117	0	134	0	0	79	55
УИК №339	1407	1400	0	557	41	802	41	557	0	598	0	0	188	410
УИК №340	1224	1200	0	373	16	811	16	373	6	383	0	0	172	211
УИК №341	1351	1300	0	521	21	758	21	521	7	535	0	0	297	238
УИК №342	1636	1600	0	500	100	1000	100	500	14	586	0	0	289	297
УИК №343	1488	1500	0	591	94	815	94	591	0	685	0	0	109	576
УИК №344	926	900	0	226	34	640	34	226	2	258	0	0	135	123
УИК №345	1523	1500	0	535	15	950	15	535	11	539	0	0	318	221
УИК №346	2454	2400	0	707	26	1667	26	707	5	728	0	0	352	376
УИК №347	2078	2000	0	1140	7	853	7	1140	50	1097	0	0	269	828
УИК №348	1147	1100	0	351	15	734	15	351	7	359	0	0	156	203
УИК №349	1184	1100	0	574	24	502	24	574	5	593	0	0	170	423
УИК №350	674	600	0	553	8	39	8	553	2	559	0	0	93	466
УИК №351	758	700	0	178	30	492	30	178	5	203	0	0	107	96
УИК №352	293	240	0	97	26	117	26	97	1	122	0	0	45	77
УИК №353	1432	1400	0	428	52	920	52	428	7	473	0	0	222	251
УИК №354	2020	2000	0	1342	61	597	61	1342	4	1399	0	0	210	1189
УИК №355	779	700	0	334	15	351	15	334	4	345	0	0	110	235
УИК №356	1535	1500	0	533	2	965	2	533	22	513	0	0	253	260
УИК №380	223	1000	0	196	0	804	0	196	3	193	0	0	51	142
УИК №381	38	1000	0	26	0	974	0	26	0	26	0	0	17	9
														
УИК №401	1053	1060	0	202	27	831	27	202	6	223	0	0	144	79
УИК №402	1418	1440	0	522	6	912	6	522	16	512	0	0	296	216
УИК №403	2634	2665	0	918	22	1725	22	918	25	915	0	0	535	380
УИК №404	2493	2530	0	969	14	1547	14	969	38	945	0	0	537	408
УИК №405	2439	2490	0	820	12	1658	12	820	25	807	0	0	472	335
УИК №406	2691	2710	0	927	26	1757	26	927	30	923	0	0	597	326
УИК №407	2660	2725	0	883	25	1817	25	883	27	881	0	0	532	349
УИК №408	2541	2560	0	946	11	1603	11	946	32	925	0	0	587	338
УИК №409	2704	2710	0	1023	4	1683	4	1023	40	987	0	0	616	371
УИК №410	2629	2670	0	814	6	1850	6	814	27	793	0	0	501	292
УИК №411	2610	2645	0	801	11	1833	11	799	32	778	0	0	438	340
УИК №412	1447	1470	0	391	2	1077	2	391	7	386	0	0	259	127
УИК №413	1303	1325	0	386	11	928	11	386	10	387	0	0	212	175
														
УИК №501	1273	1100	0	293	7	800	7	293	1	299	0	0	191	108
УИК №502	1215	1000	0	333	4	663	4	333	9	328	0	0	187	141
УИК №503	1880	1300	0	471	18	811	18	471	9	480	0	0	338	142
УИК №504	1594	1100	0	476	9	615	9	476	3	482	0	0	305	177
УИК №505	849	600	0	235	3	362	3	234	1	236	0	0	136	100
УИК №506	1179	1000	0	300	8	692	8	300	3	305	0	0	209	96
УИК №507	1675	1200	0	588	7	605	7	588	19	576	0	0	367	209
УИК №508	1518	1100	0	448	7	645	7	448	3	452	0	0	289	163
УИК №509	664	500	0	181	1	318	1	181	4	178	0	0	118	60
УИК №510	1663	1100	0	470	6	624	6	470	5	471	0	0	298	173
УИК №511	1221	1000	0	349	1	650	1	349	2	348	0	0	236	112
УИК №512	1738	1200	0	432	11	757	11	432	6	437	0	0	306	131
УИК №513	1417	1000	0	424	4	572	4	423	7	420	0	0	263	157
УИК №514	1517	1000	0	443	2	555	2	443	9	436	0	0	300	136
УИК №515	2261	1600	0	735	2	863	2	735	12	725	0	0	450	275
УИК №516	2455	1800	0	621	2	1177	2	620	12	610	0	0	398	212
УИК №517	2677	1900	0	703	3	1194	3	703	9	697	0	0	463	234
УИК №518	2057	1500	0	574	7	919	7	574	5	576	0	0	386	190
УИК №519	2282	1700	0	589	4	1107	4	589	10	583	0	0	424	159
УИК №520	1974	1400	0	408	0	992	0	408	3	405	0	0	263	142
УИК №521	2437	1700	0	736	1	963	1	736	12	725	0	0	453	272
УИК №522	1094	1000	0	311	2	687	2	311	4	309	0	0	182	127
УИК №523	1597	1200	0	494	7	699	7	494	7	494	0	0	348	146
УИК №524	1789	1300	0	476	1	823	1	476	6	471	0	0	269	202
УИК №525	2604	1800	0	626	99	1075	99	626	13	712	0	0	462	250
УИК №526	1732	1300	0	462	10	828	10	462	4	468	0	0	273	195
УИК №527	1896	1300	0	558	19	723	19	558	9	568	0	0	371	197
УИК №528	2245	1600	0	440	3	1157	3	440	6	437	0	0	272	165
УИК №529	2351	1700	0	531	1	1168	1	531	5	527	0	0	353	174
УИК №530	1970	1400	0	513	2	885	2	513	15	500	0	0	319	181
УИК №531	1615	1200	0	387	1	812	1	386	9	378	0	0	262	116
УИК №532	2189	1600	0	506	3	1091	3	506	10	499	0	0	310	189
УИК №533	2148	1500	0	481	8	1011	8	481	4	485	0	0	318	167
УИК №534	1970	1400	0	518	8	874	8	518	8	518	0	0	353	165
УИК №535	2387	1700	0	553	6	1141	6	553	4	555	0	0	373	182
УИК №536	2069	1500	0	516	47	937	47	516	7	556	0	0	370	186
УИК №537	2099	1500	0	664	10	826	10	664	9	665	0	0	456	209
УИК №538	2129	1500	0	612	16	872	16	612	12	616	0	0	413	203
УИК №539	2306	1700	0	446	18	1236	18	446	4	460	0	0	305	155
УИК №540	2242	1600	0	444	6	1150	6	444	11	439	0	0	280	159
УИК №541	881	600	0	275	3	322	3	275	3	275	0	0	179	96
УИК №542	2146	1600	0	496	1	1103	1	496	7	490	0	0	323	167
УИК №543	2525	1800	0	592	9	1199	9	591	13	587	0	0	386	201
УИК №544	2335	1700	0	505	11	1184	11	504	9	506	0	0	346	160
УИК №545	1805	1300	0	391	2	907	2	391	3	390	0	0	251	139
УИК №546	861	600	0	257	0	343	0	257	5	252	0	0	169	83
УИК №547	1505	1000	0	464	7	529	7	464	6	465	0	0	240	225
УИК №548	2157	1500	0	593	7	900	7	593	14	586	0	0	371	215
УИК №549	2597	1800	0	635	3	1162	3	635	13	625	0	0	418	207
УИК №550	1943	1400	0	574	0	826	0	574	11	563	0	0	350	213
УИК №551	2544	1800	0	684	4	1112	4	684	5	683	0	0	450	233
УИК №552	2856	2100	0	739	6	1355	6	739	13	732	0	0	509	223
УИК №553	1324	1000	0	334	1	665	1	334	4	331	0	0	211	120
УИК №554	2007	1500	0	444	3	1053	3	444	10	437	0	0	291	146
УИК №555	995	700	0	311	5	384	5	311	4	312	0	0	192	120
УИК №556	1890	1100	0	586	0	514	0	585	20	565	0	0	325	240
УИК №580	757	772	0	755	0	17	0	755	95	660	0	0	353	307
УИК №5406	386	388	0	386	0	2	0	386	16	370	0	0	36	334
УИК №5407	136	138	0	136	0	2	0	136	0	136	0	0	32	104
УИК №5408	188	190	0	188	0	2	0	188	0	188	0	0	34	154
УИК №5409	219	221	0	219	0	2	0	219	0	219	0	0	33	186
УИК №5410	228	230	0	228	0	2	0	228	0	228	0	0	37	191
УИК №5411	35	37	0	35	0	2	0	35	1	34	0	0	4	30
														
УИК №601	2180	2200	0	586	3	1611	3	584	7	580	0	0	384	196
УИК №602	1906	1900	0	365	1	1534	1	365	5	361	0	0	227	134
УИК №603	2504	2400	0	587	6	1807	6	587	4	589	0	0	329	260
УИК №604	2064	2000	0	536	3	1461	3	536	5	534	0	0	336	198
УИК №605	1829	1500	0	393	4	1103	4	393	8	389	0	0	252	137
УИК №606	1971	1600	0	485	5	1110	5	485	5	485	0	0	305	180
УИК №607	2308	2000	0	615	3	1382	3	615	13	605	0	0	369	236
УИК №608	1588	1500	0	468	0	1032	0	468	4	464	0	0	301	163
УИК №609	2368	2300	0	635	1	1664	1	635	7	629	0	0	380	249
