Число избирателей, внесенных в список на момент окончания голосования	Число избирательных бюллетеней, полученных участковой избирательной комиссией	Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно	Число избирательных бюллетеней, выданных избирателям в помещении для голосования в день голосования	Число избирательных бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования в день голосования	Число  погашенных избирательных бюллетеней	Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования	Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования	Число недействительных избирательных бюллетеней	Число действительных избирательных бюллетеней	Число утраченных избирательных бюллетеней	Число избирательных бюллетеней, не учтенных при получении	Андрейченко Андрей Валерьевич	Кожемяко Олег Николаевич	Тимченко Алексей Павлович	Чемерис Роза Басировна
УИК №101	665	650	0	370	3	277	3	370	18	355	0	0	91	230	20	14
УИК №102	776	780	0	296	13	471	13	296	8	301	0	0	93	169	22	17
УИК №103	709	720	0	267	15	438	15	267	10	272	0	0	106	143	13	10
УИК №104	723	720	0	280	30	410	30	280	8	302	0	0	83	200	8	11
УИК №105	351	330	0	141	5	184	5	141	7	139	0	0	37	94	5	3
УИК №106	385	380	14	99	16	251	30	99	3	126	0	0	34	77	4	11
УИК №107	261	260	32	112	6	110	38	112	2	148	0	0	28	117	1	2
УИК №108	134	130	0	79	13	38	13	79	2	90	0	0	17	70	2	1
УИК №109	236	240	0	144	19	77	19	144	4	159	0	0	23	125	6	5
УИК №110	200	190	19	82	0	89	19	82	3	98	0	0	31	59	3	5
УИК №111	457	450	0	196	13	241	13	196	3	206	0	0	36	157	8	5
УИК №112	100	90	0	65	0	25	0	65	3	62	0	0	5	57	0	0
УИК №113	313	300	0	125	6	169	6	125	6	125	0	0	40	78	1	6
УИК №114	135	130	26	52	7	45	33	52	0	85	0	0	22	62	0	1
УИК №115	135	130	0	81	23	26	23	81	4	100	0	0	12	80	1	7
УИК №116	596	580	0	236	24	320	24	236	11	249	0	0	90	130	18	11
УИК №117	281	240	0	138	8	94	8	138	5	141	0	0	11	130	0	0
УИК №118	223	210	0	96	9	105	9	96	2	103	0	0	45	36	15	7
УИК №119	302	280	0	159	11	110	11	159	5	165	0	0	32	121	9	3
УИК №120	145	140	0	37	8	95	8	37	0	45	0	0	12	29	1	3
УИК №121	228	220	0	88	10	122	10	88	5	93	0	0	17	67	7	2
УИК №122	766	770	0	262	32	476	32	262	13	281	0	0	115	127	20	19
УИК №123	622	610	0	270	39	301	39	270	15	294	0	0	100	162	17	15
УИК №124	743	790	0	549	13	228	13	549	15	547	0	0	12	528	6	1
УИК №125	430	430	33	148	9	240	42	148	7	183	0	0	40	129	6	8
УИК №126	640	640	39	210	21	370	60	210	9	261	0	0	73	183	2	3
УИК №127	301	290	0	99	13	178	13	99	8	104	0	0	39	58	2	5
УИК №128	518	520	0	239	11	270	11	239	14	236	0	0	75	142	10	9
УИК №201	2223	2200	0	1096	21	1083	21	1096	45	1072	0	0	341	647	45	39
УИК №202	2264	2300	0	990	66	1244	66	988	47	1007	0	0	352	553	51	51
УИК №203	2223	2250	0	936	22	1292	22	936	51	907	0	0	394	418	55	40
УИК №204	2211	2200	0	997	22	1181	22	997	43	976	0	0	369	508	55	44
УИК №205	1155	1150	0	358	19	773	19	358	22	355	0	0	169	143	18	25
УИК №206	867	800	0	383	11	406	11	383	24	370	0	0	116	206	25	23
УИК №207	1925	1950	0	937	40	973	40	937	37	940	0	0	163	708	36	33
УИК №208	2196	2200	0	1021	34	1145	34	1021	26	1029	0	0	370	600	39	20
УИК №209	2256	2250	0	1028	35	1187	35	1028	44	1019	0	0	351	586	43	39
УИК №210	2131	2150	0	1021	37	1092	37	1021	6	1052	0	0	180	835	19	18
УИК №211	1928	1950	0	1016	77	857	77	1016	39	1054	0	0	325	638	52	39
УИК №212	2214	2200	0	1016	18	1166	18	1015	47	986	0	0	352	546	48	40
УИК №213	2114	2100	0	935	29	1136	29	935	3	961	0	0	90	862	2	7
УИК №214	2023	2000	0	964	42	994	42	964	3	1003	0	0	366	634	1	2
УИК №215	2023	2000	0	1014	54	932	54	1014	24	1044	0	0	359	648	25	12
УИК №216	2063	2100	0	911	18	1171	18	911	42	887	0	0	308	482	44	53
УИК №217	1997	2000	0	941	14	1045	14	941	3	952	0	0	282	584	43	43
УИК №218	2346	2350	0	956	44	1350	44	956	47	953	0	0	290	634	12	17
УИК №219	2289	2300	0	1150	50	1100	50	1150	50	1150	0	0	391	668	51	40
УИК №220	1934	1900	0	779	50	1071	50	779	2	827	0	0	59	760	3	5
УИК №221	2120	2100	0	1011	59	1030	59	1011	20	1050	0	0	274	756	8	12
УИК №222	2026	2000	0	997	24	979	24	997	36	985	0	0	355	563	41	26
УИК №280	109	500	0	71	36	393	36	71	1	106	0	0	21	81	3	1
УИК №301	2670	2000	0	1525	7	468	7	1525	17	1515	0	0	560	887	31	37
УИК №302	1107	1000	0	729	10	261	10	729	10	729	0	0	80	617	17	15
УИК №303	2574	2500	0	1607	11	882	11	1607	7	1611	0	0	146	1427	23	15
УИК №304	2536	2500	0	1931	47	522	47	1931	13	1965	0	0	343	1591	16	15
УИК №305	1034	1000	0	370	69	561	69	370	4	435	0	0	54	367	12	2
УИК №306	1446	1400	0	917	20	463	20	917	18	919	0	0	193	699	12	15
УИК №307	1646	1500	0	1035	14	451	14	1035	25	1024	0	0	198	801	14	11
УИК №308	1157	1000	0	667	13	320	13	667	13	667	0	0	71	561	25	10
УИК №309	1178	1000	0	906	7	87	7	906	8	905	0	0	169	713	21	2
УИК №310	1851	1500	0	914	15	571	15	914	27	902	0	0	252	578	50	22
УИК №311	2071	2000	0	1488	6	506	6	1488	36	1458	0	0	147	1296	10	5
УИК №312	1063	1000	0	685	1	314	1	685	14	672	0	0	105	550	7	10
УИК №313	1381	1000	0	869	6	125	6	869	16	859	0	0	169	656	24	10
УИК №314	1536	1500	0	1010	30	460	30	1010	19	1021	0	0	226	718	57	20
УИК №315	1818	1500	0	1403	6	91	6	1403	36	1373	0	0	62	1286	17	8
УИК №316	1211	1000	0	912	8	80	8	912	28	892	0	0	154	679	46	13
УИК №317	1835	1500	0	541	21	938	21	541	104	458	0	0	141	286	15	16
УИК №318	1678	1500	0	1176	21	303	21	1176	33	1164	0	0	166	966	23	9
УИК №319	1212	1000	0	794	5	201	5	794	19	780	0	0	77	677	12	14
УИК №320	1912	1500	0	1215	13	272	13	1215	36	1192	0	0	209	921	43	19
УИК №321	2130	2000	0	1249	8	743	8	1249	40	1217	0	0	162	962	62	31
УИК №322	1194	1000	0	750	53	197	53	750	26	777	0	0	150	576	38	13
УИК №323	1585	1500	0	1058	102	340	102	1058	33	1127	0	0	218	858	32	19
УИК №324	1297	1300	0	698	8	594	8	698	34	672	0	0	134	483	39	16
УИК №325	1133	1000	0	753	12	235	12	753	17	748	0	0	131	575	26	16
